,url,count
1777,github.com,25112
5478,www.securityfocus.com,20645
5482,www.securitytracker.com,10842
65,access.redhat.com,8627
3554,support.apple.com,8069
2421,lists.opensuse.org,7930
2398,lists.fedoraproject.org,7222
5213,www.oracle.com,7006
2382,lists.apache.org,6295
4440,www.debian.org,5698
3310,security.gentoo.org,5289
3929,usn.ubuntu.com,5225
2393,lists.debian.org,4934
2982,portal.msrc.microsoft.com,4391
5206,www.openwall.com,4157
2873,packetstormsecurity.com,4067
3457,source.android.com,3699
3276,seclists.org,3462
4577,www.exploit-db.com,3414
3817,tools.cisco.com,3019
3319,security.netapp.com,2890
4768,www.ibm.com,2810
1468,exchange.xforce.ibmcloud.com,2676
1940,helpx.adobe.com,2674
5904,www.zerodayinitiative.com,2547
715,bugzilla.redhat.com,2483
3169,rhn.redhat.com,2019
5058,www.mozilla.org,1785
972,crbug.com,1458
5737,www.ubuntu.com,1397
2190,jvn.jp,1365
796,chromereleases.googleblog.com,1280
709,bugzilla.mozilla.org,1075
2008,ics-cert.us-cert.gov,1072
767,cert-portal.siemens.com,1062
5347,www.qualcomm.com,1048
4076,wordpress.org,1005
1781,gitlab.com,995
3588,support.f5.com,932
4759,www.huawei.com,913
2220,kb.netgear.com,891
5655,www.tenable.com,824
3598,support.hpe.com,817
4092,wpscan.com,802
1732,git.kernel.org,800
1878,hackerone.com,800
3723,talosintelligence.com,794
4821,www.intel.com,771
2383,lists.apple.com,735
2121,jenkins.io,717
0,Other,62239
