,url,count
472,github.com,5802
639,lists.fedoraproject.org,2169
966,support.apple.com,1485
636,lists.apache.org,1149
814,portal.msrc.microsoft.com,889
1685,www.zerodayinitiative.com,842
1136,wpscan.com,778
1496,www.oracle.com,765
901,security.netapp.com,651
1051,tools.cisco.com,601
777,packetstormsecurity.com,575
1240,www.debian.org,564
1493,www.openwall.com,556
638,lists.debian.org,490
514,helpx.adobe.com,472
941,source.android.com,439
1350,www.ibm.com,427
404,exchange.xforce.ibmcloud.com,419
899,security.gentoo.org,403
474,gitlab.com,396
172,cert-portal.siemens.com,355
240,crbug.com,315
183,chromereleases.googleblog.com,314
579,jvn.jp,284
592,kb.netgear.com,278
1080,us-cert.cisa.gov,275
156,bugzilla.redhat.com,269
1431,www.mozilla.org,261
499,hackerone.com,258
907,security.samsungmobile.com,253
891,seclists.org,225
938,snyk.io,224
1665,www.wordfence.com,216
1120,wiki.scn.sap.com,194
619,launchpad.support.sap.com,193
806,plugins.trac.wordpress.org,191
524,huntr.dev,189
289,device.harmonyos.com,183
1023,talosintelligence.com,179
1637,www.twcert.org.tw,168
229,consumer.huawei.com,161
1526,www.qualcomm.com,155
98,blog.jetbrains.com,144
1616,www.tenable.com,142
591,kb.juniper.net,138
236,corp.mediatek.com,137
153,bugzilla.mozilla.org,134
1242,www.dell.com,134
1178,www.asus.com,116
875,rustsec.org,116
0,Other,9010
