,url,count
1777,github.com,25112
5478,www.securityfocus.com,20645
5482,www.securitytracker.com,10842
65,access.redhat.com,8627
3554,support.apple.com,8069
2421,lists.opensuse.org,7930
2398,lists.fedoraproject.org,7222
5213,www.oracle.com,7006
2382,lists.apache.org,6295
4440,www.debian.org,5698
3310,security.gentoo.org,5289
3929,usn.ubuntu.com,5225
2393,lists.debian.org,4934
2982,portal.msrc.microsoft.com,4391
5206,www.openwall.com,4157
2873,packetstormsecurity.com,4067
3457,source.android.com,3699
3276,seclists.org,3462
4577,www.exploit-db.com,3414
3817,tools.cisco.com,3019
3319,security.netapp.com,2890
4768,www.ibm.com,2810
1468,exchange.xforce.ibmcloud.com,2676
1940,helpx.adobe.com,2674
5904,www.zerodayinitiative.com,2547
715,bugzilla.redhat.com,2483
3169,rhn.redhat.com,2019
5058,www.mozilla.org,1785
972,crbug.com,1458
5737,www.ubuntu.com,1397
2190,jvn.jp,1365
796,chromereleases.googleblog.com,1280
709,bugzilla.mozilla.org,1075
2008,ics-cert.us-cert.gov,1072
767,cert-portal.siemens.com,1062
5347,www.qualcomm.com,1048
4076,wordpress.org,1005
1781,gitlab.com,995
3588,support.f5.com,932
4759,www.huawei.com,913
2220,kb.netgear.com,891
5655,www.tenable.com,824
3598,support.hpe.com,817
4092,wpscan.com,802
1732,git.kernel.org,800
1878,hackerone.com,800
3723,talosintelligence.com,794
4821,www.intel.com,771
2383,lists.apple.com,735
2121,jenkins.io,717
4625,www.foxitsoftware.com,713
2312,launchpad.support.sap.com,685
3435,snyk.io,663
1239,docs.microsoft.com,655
3917,us-cert.cisa.gov,620
3326,security.samsungmobile.com,619
4094,wpvulndb.com,606
4046,wiki.scn.sap.com,605
4103,www-01.ibm.com,581
1704,gist.github.com,561
5633,www.talosintelligence.com,537
63,about.gitlab.com,509
2218,kb.juniper.net,502
3466,sourceforge.net,496
4891,www.kb.cert.org,496
2571,medium.com,443
1861,h20566.www2.hpe.com,422
2771,nvidia.custhelp.com,414
2227,kc.mcafee.com,413
2750,nodesecurity.io,410
649,bugs.chromium.org,401
5752,www.us-cert.gov,371
2134,jira.atlassian.com,354
5995,zerodayinitiative.com,352
587,blogs.gentoo.org,350
127,android.googlesource.com,342
1305,documentation.cpanel.net,341
3468,sourceware.org,335
1549,fortiguard.com,330
3210,rustsec.org,325
3458,source.codeaurora.org,324
3607,support.lenovo.com,317
3536,success.trendmicro.com,315
4444,www.dell.com,315
651,bugs.debian.org,313
5854,www.wordfence.com,305
427,blog.jetbrains.com,304
5796,www.vmware.com,288
4985,www.manageengine.com,286
2967,plugins.trac.wordpress.org,281
754,cdn.kernel.org,279
717,bugzilla.suse.com,277
4357,www.codeaurora.org,274
5623,www.synology.com,274
3878,twitter.com,268
5846,www.wireshark.org,257
675,bugs.launchpad.net,256
1842,groups.google.com,253
835,code.wireshark.org,238
2402,lists.gnu.org,238
144,antoniocannito.it,238
698,bugs.wireshark.org,231
4210,www.arubanetworks.com,231
5728,www.twcert.org.tw,230
5937,xenbits.xen.org,228
4920,www.kryptowire.com,219
3091,raw.githubusercontent.com,211
3573,support.citrix.com,208
5680,www.tibco.com,204
686,bugs.php.net,198
1985,huntr.dev,189
3324,security.paloaltonetworks.com,188
2835,openwall.com,186
3301,security.FreeBSD.org,184
5437,www.schneider-electric.com,183
1123,device.harmonyos.com,183
5891,www.youtube.com,182
4861,www.jenkins.io,180
4381,www.coresecurity.com,178
2191,jvndb.jvn.jp,175
773,cert.vde.com,174
935,consumer.huawei.com,174
2551,mattermost.com,172
5345,www.qnap.com,164
4216,www.asus.com,160
4897,www.kernel.org,156
1820,googlechromereleases.blogspot.com,156
5138,www.npmjs.com,156
845,codereview.chromium.org,152
2223,kb.pulsesecure.net,148
663,bugs.ghostscript.com,147
2495,magento.com,146
1723,git.ghostscript.com,145
2711,news.cpanel.com,143
5443,www.se.com,139
953,corp.mediatek.com,137
1364,drive.google.com,133
2940,php.net,129
2890,pastebin.com,129
1117,developer.joomla.org,128
2937,phabricator.wikimedia.org,127
2953,pivotal.io,126
3135,research.checkpoint.com,126
2532,mariadb.com,119
3030,psirt.global.sonicwall.com,118
515,blog.securityevaluators.com,116
3299,security-tracker.debian.org,116
4981,www.mail-archive.com,116
1015,cxsecurity.com,115
1784,gitlab.gnome.org,115
3446,softwaresupport.softwaregrp.com,115
5034,www.mitel.com,109
4345,www.cloudfoundry.org,106
5764,www.vapidlabs.com,106
5283,www.phpmyadmin.net,106
2948,pierrekim.github.io,106
5585,www.squid-cache.org,105
5626,www.syss.de,104
5802,www.vulnerability-lab.com,104
4054,wiki.zimbra.com,104
3266,search.abb.com,104
2637,moodle.org,103
2722,nextcloud.com,101
5835,www.whitesourcesoftware.com,98
2528,marc.info,97
1345,download.schneider-electric.com,96
3879,typo3.org,96
4504,www.drupal.org,96
4270,www.boho.or.kr,95
3664,support.zte.com.cn,93
3667,supportannouncement.us.dlink.com,92
5639,www.tcpdump.org,91
1443,erpscan.io,91
831,code.google.com,90
5082,www.nccgroup.trust,86
1685,gerrit.wikimedia.org,86
3579,support.cybozu.com,85
778,cgit.freedesktop.org,84
1990,hyp3rlinx.altervista.org,83
5487,www.seebug.org,83
703,bugzilla.gnome.org,83
654,bugs.eclipse.org,82
5572,www.sourcecodester.com,81
593,blogs.sap.com,81
3650,support.symantec.com,81
2214,kb.cybozu.support,81
5717,www.trustwave.com,80
2217,kb.isc.org,80
5513,www.siemens.com,79
5617,www.symantec.com,79
3282,secuniaresearch.flexerasoftware.com,79
4249,www.bentley.com,78
837,code610.blogspot.com,78
1757,git.qemu.org,78
2007,ics-cert.kaspersky.com,78
1783,gitlab.freedesktop.org,77
4278,www.broadcom.com,77
5362,www.rapid7.com,77
708,bugzilla.maptools.org,76
5427,www.samba.org,76
3269,sec-consult.com,75
1750,git.openssl.org,75
159,applied-risk.com,73
4482,www.dlink.com,73
5073,www.nagios.com,72
1911,help.ecostruxureit.com,71
4353,www.cnvd.org.cn,71
3825,trac.ffmpeg.org,70
2445,lists.wikimedia.org,70
2749,nodejs.org,70
2500,mail-archives.apache.org,70
994,curl.haxx.se,69
633,bto.bluecoat.com,69
1149,discuss.elastic.co,69
5409,www.ruby-lang.org,69
1942,herolab.usd.de,68
299,bitbucket.org,68
5869,www.x41-dsec.de,67
5306,www.postgresql.org,66
3597,support.hp.com,66
4205,www.arista.com,65
3617,support.ntp.org,64
996,customers.codesys.com,64
5201,www.openssl.org,64
4590,www.facebook.com,64
4527,www.elastic.co,64
705,bugzilla.kernel.org,64
1220,docs.google.com,63
4179,www.amd.com,63
3595,support.hcltechsw.com,63
2468,lore.kernel.org,62
4835,www.irfanview.com,62
5448,www.sec-consult.com,61
3041,puppet.com,60
5918,www.zyxel.com,60
2337,lgsecurity.lge.com,59
1596,forum.xpdfreader.com,59
4322,www.chtsecurity.com,58
1978,httpd.apache.org,58
2088,issues.apache.org,58
5977,youtu.be,58
5137,www.novell.com,58
852,codex.wordpress.org,57
4848,www.iwantacve.cn,57
1800,gkaim.com,57
5278,www.php.net,57
5036,www.mitsubishielectric.com,56
5777,www.veritas.com,56
5104,www.netiq.com,55
4255,www.bitdefender.com,55
3340,securitylab.github.com,54
3029,psirt.bosch.com,54
5755,www.usenix.org,53
1948,hg.code.sf.net,53
3416,sku11army.blogspot.com,53
5933,x-stream.github.io,53
486,blog.rapid7.com,52
4242,www.barco.com,52
1312,documentation.solarwinds.com,52
2254,know.bishopfox.com,52
3296,security-center.intel.com,51
3048,pypi.org,51
5905,www.zeroscience.mk,51
1302,documentation.centreon.com,51
1282,docs.suitecrm.com,51
594,blogs.securiteam.com,50
1776,gitee.com,50
2171,jpn.nec.com,50
2212,kb.cert.org,50
1449,esupport.trendmicro.com,49
5377,www.redmine.org,49
5519,www.silverstripe.org,48
5581,www.spinics.net,48
5982,zammad.com,48
2454,lkml.org,47
1467,excellium-services.com,47
1472,exploit-db.com,47
5556,www.solarwinds.com,47
4228,www.autodesk.com,47
5170,www.onapsis.com,46
2311,launchpad.net,46
1759,git.savannah.gnu.org,46
3642,support.solarwinds.com,46
4254,www.bishopfox.com,46
2897,patchwork.kernel.org,45
710,bugzilla.nasm.us,45
3561,support.blackberry.com,45
1350,downloads.asterisk.org,45
1769,git.videolan.org,45
2615,misteralfa-hack.blogspot.com,45
3140,research.nccgroup.com,45
2980,portal.liferay.dev,44
5938,xenbits.xenproject.org,44
4388,www.criticalstart.com,44
3710,sysdream.com,44
1950,hg.graphicsmagick.org,44
920,community.ui.com,43
903,community.rapid7.com,43
848,codevigilant.com,43
2524,mantisbt.org,43
5536,www.slackware.com,43
4479,www.djangoproject.com,43
2423,lists.openwall.net,42
5299,www.pluginvulnerabilities.com,42
4619,www.fortiguard.com,42
5117,www.netsparker.com,41
3643,support.sonatype.com,41
3979,vuln.ryotak.me,41
5582,www.splunk.com,41
706,bugzilla.libav.org,41
2417,lists.nongnu.org,41
1297,docs.wso2.com,41
2952,pitstop.manageengine.com,40
3139,research.loginsoft.com,40
2222,kb.parallels.com,40
1936,helpcenter.trendmicro.com,40
1673,gcc.gnu.org,40
11,0dd.zone,40
662,bugs.gentoo.org,40
2489,m0ze.ru,39
930,confluence.atlassian.com,39
5350,www.qualys.com,39
1026,cybersecurityworks.com,39
3495,ssd-disclosure.com,39
4587,www.f-secure.com,39
3682,svn.apache.org,38
5829,www.westerndigital.com,38
452,blog.mybb.com,38
2900,patchwork.ozlabs.org,38
1088,dev.cmsmadesimple.org,38
2446,lists.x.org,38
1496,fatihhcelik.blogspot.com,38
659,bugs.freedesktop.org,38
2960,play.google.com,38
3881,ubuntu.com,38
2963,plone.org,38
1754,git.php.net,37
3724,tanzu.vmware.com,37
3666,support2.windriver.com,37
2894,patchstack.com,37
2219,kb.netapp.com,37
1724,git.gnome.org,37
1749,git.openldap.org,37
4330,www.cisa.gov,37
3648,support.sugarcrm.com,37
2719,news.ycombinator.com,37
719,bugzilla.zimbra.com,36
497,blog.ripstech.com,36
2950,pillow.readthedocs.io,36
3071,quickview.cloudapps.cisco.com,36
688,bugs.python.org,36
946,core.trac.wordpress.org,35
3372,service.mcafee.com,35
983,cs.cybozu.co.jp,35
4105,www-prd-trops.events.ibm.com,35
911,community.sophos.com,35
2855,otrs.com,35
3873,tvn.twcert.org.tw,35
4199,www.applied-risk.com,35
1154,discuss.hashicorp.com,34
2878,pagure.io,34
2140,jira.mongodb.org,34
3698,symfony.com,34
2400,lists.freedesktop.org,34
3568,support.ca.com,34
3148,resp3ctblog.wordpress.com,33
2287,labs.bishopfox.com,33
4528,www.elecom.co.jp,33
249,basercms.net,33
2089,issues.asterisk.org,33
1012,cwiki.apache.org,33
5619,www.synacktiv.com,32
4517,www.ec-cube.net,32
88,advisory.checkmarx.net,32
5493,www.sentinelone.com,32
5184,www.opendesign.com,32
1181,doc.powerdns.com,32
