,url,count
5754,www.usa.philips.com,32
5057,www.moxa.com,32
1218,docs.github.com,32
3247,savannah.gnu.org,32
1228,docs.ipswitch.com,32
5609,www.suse.com,32
5176,www.open-emr.org,32
5048,www.mogozobo.com,31
1209,docs.djangoproject.com,31
5389,www.revive-adserver.com,31
2079,irssi.org,31
3015,projects.theforeman.org,31
3407,sintonen.fi,31
4318,www.chiark.greenend.org.uk,31
1828,grafana.com,31
1203,docs.cpanel.net,31
4918,www.krcert.or.kr,30
5177,www.open-xchange.com,30
2602,mikrotik.com,30
3608,support.lexmark.com,30
3813,tomcat.apache.org,30
458,blog.nintechnet.com,30
4720,www.hashicorp.com,30
0,Other,20255
