,url,count
1310,www.securityfocus.com,7482
1311,www.securitytracker.com,4086
447,github.com,3351
13,access.redhat.com,2421
1066,www.debian.org,1559
866,support.apple.com,1421
808,security.gentoo.org,1262
1096,www.exploit-db.com,1165
842,source.android.com,1159
1247,www.oracle.com,1062
584,lists.debian.org,829
961,usn.ubuntu.com,815
581,lists.apache.org,728
728,portal.msrc.microsoft.com,685
366,exchange.xforce.ibmcloud.com,474
792,seclists.org,466
931,tools.cisco.com,466
1136,www.ibm.com,452
697,packetstormsecurity.com,438
1245,www.openwall.com,436
1206,www.mozilla.org,431
197,bugzilla.redhat.com,412
478,helpx.adobe.com,361
1134,www.huawei.com,330
495,ics-cert.us-cert.gov,318
536,jvn.jp,267
763,rhn.redhat.com,263
139,blogs.gentoo.org,245
879,support.hpe.com,236
599,lists.opensuse.org,225
675,nodesecurity.io,224
991,wordpress.org,220
813,security.netapp.com,213
1342,www.talosintelligence.com,211
586,lists.fedoraproject.org,204
192,bugzilla.mozilla.org,198
1412,www.zerodayinitiative.com,184
428,git.kernel.org,178
257,crbug.com,171
548,kb.netgear.com,169
221,chromereleases.googleblog.com,169
848,sourceware.org,161
164,bugs.debian.org,129
689,openwall.com,121
1431,zerodayinitiative.com,112
996,wpvulndb.com,102
324,documentation.cpanel.net,101
1166,www.kb.cert.org,99
163,bugs.chromium.org,96
677,nvidia.custhelp.com,92
0,Other,7883
